NOME,,fid,id_ass,nome_cognome,sei_sul_posto,tipo_segnalazione,eri_presente,hai_segnalato_autorita,quale_autorita,ora_inizio_evento,ora_fine_evento,località_evento,indirizzo_evento,all_1,all_2,all_3,all_4,all_5,all_6,note_1,note_2,note_3,note_4,note_5,note_6,longitudine,latitudine,verifica_effettuata,token,ora_inserimento,esito_verifica,tua_mail,tuo_telefono
TIPO,,,TEXT,TEXT,BOOLEAN,TEXT,BOOLEAN,BOOLEAN,TEXT,DATETIME,DATETIME,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,REAL,REAL,BOOLEAN,TEXT,DATETIME,BOOLEAN,TEXT,TEXT
NULLO,,,N,N,N,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISUALIZZARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCELTE,,,TENDINA,,,TENDINA,CASE NO sei_sul_posto,,,AUTOMATICO,AUTOMATICO,AUTOMATICO,AUTOMATICO,,,,,,,,,,,,,,,,,AUTOMATICO,,,
